_id,dataCollectionDate,beachName,wind_speed,windDirection,airTemp,rain,rainAmount,waterTemp,waterFowl,waveAction,waterClarity,turbidity
1,2010-08-03,Marie Curtis Park East Beach,5,SW,31,Yes,,22.6,12,LOW,Clear,0.9
2,2010-08-03,Sunnyside Beach,5,SW,31,Yes,,21.9,30,LOW,Clear,0.6
3,2010-08-03,Hanlan's Point Beach,5,SW,31,Yes,,24.3,20,LOW,Clear,0.1
4,2010-08-03,Gibraltar Point Beach,5,SW,31,Yes,,21.3,12,LOW,Clear,
5,2010-08-03,Centre Island Beach,5,SW,31,Yes,,21.3,30,LOW,Clear,0.2
6,2010-08-03,Ward's Island Beach,5,SW,31,Yes,,21.4,,LOW,Clear,0.6
7,2010-08-03,Cherry Beach,10,SW,30,Yes,,21.3,10,LOW,Clear,1.3
8,2010-08-03,Woodbine Beaches,10,SW,30,Yes,,21.5,60,LOW,Semi Clear,1.8
9,2010-08-03,Kew Balmy Beach,10,SW,30,Yes,,22,50,LOW,Semi Clear,2
10,2010-08-03,Bluffer's Beach Park,10,SW,30,Yes,,21.8,85,LOW,Clear,1.9
11,2010-06-01,Hanlan's Point Beach,,W,20,Yes,6,17.3,12,LOW,Clear,2
12,2010-06-02,Hanlan's Point Beach,,S,22,No,21,18.1,23,LOW,Clear,1.8
13,2010-06-03,Hanlan's Point Beach,,SE,17,Yes,3,17.4,15,MOD,Cloudy,1.4
14,2010-06-04,Hanlan's Point Beach,10,None,22,Yes,2,17.5,30,LOW,"Clear, green",1.7
15,2010-06-05,Hanlan's Point Beach,,W,24,Yes,2,18.8,6,MOD,Cloudy,1.8
16,2010-06-06,Hanlan's Point Beach,20,N,12,Yes,20,13,18,MOD,Cloudy,4
17,2010-06-07,Hanlan's Point Beach,17,NW,20,Yes,,14.9,8,MOD,Clear,1.2
18,2010-06-08,Hanlan's Point Beach,17,NW,14,No,,14.3,12,LOW,Clear,2
19,2010-06-09,Hanlan's Point Beach,,None,13,Yes,4,14.1,20,MOD,Clear,1
20,2010-06-10,Hanlan's Point Beach,13,NW,16,Yes,,14.94,,MOD,Clear,1.6
21,2010-06-11,Hanlan's Point Beach,,None,16,No,,15.6,72,LOW,Clear,1.7
22,2010-06-12,Hanlan's Point Beach,,None,17,No,4,,,None,None,
23,2010-06-13,Hanlan's Point Beach,5,SE,20,N/A,,15.1,44,LOW,Cloudy,
24,2010-06-14,Hanlan's Point Beach,7,W,22,No,,16.1,6,LOW,Clear,0.9
25,2010-06-15,Hanlan's Point Beach,11,NE,22,No,,16.2,10,LOW,Clear,0.9
26,2010-06-16,Hanlan's Point Beach,26,E,16,Yes,15,17.5,36,LOW,Cloudy,1
27,2010-06-17,Hanlan's Point Beach,,NW,25,Yes,,8.8,45,LOW,Clear,2.5
28,2010-06-18,Hanlan's Point Beach,11,W,25,No,,16.3,15,LOW,Clear,1.5
29,2010-06-19,Hanlan's Point Beach,11,E,19,No,,17.2,12,MOD,Cloudy,1.8
30,2010-06-20,Hanlan's Point Beach,17,NW,23,No,,17.11,62,MOD,Clear,0.8
31,2010-06-21,Hanlan's Point Beach,9,NW,22,No,,16.3,42,LOW,Clear,0.7
32,2010-06-22,Hanlan's Point Beach,15,E,22,Yes,19,17.1,17,MOD,Clear,0.7
33,2010-06-23,Hanlan's Point Beach,6,SW,20,Yes,,17.5,25,LOW,Clear,0.7
34,2010-06-24,Hanlan's Point Beach,7,W,20,No,4,19.3,12,HIGH,Cloudy,4.5
35,2010-06-25,Hanlan's Point Beach,,None,,Yes,,15.9,5,MOD,Clear,0.8
36,2010-06-26,Hanlan's Point Beach,4,None,24,Yes,7,18.2,30,MOD,Clear,3.8
37,2010-06-27,Hanlan's Point Beach,5,None,22,Yes,45,16.1,3,LOW,Clear,1.7
38,2010-06-28,Hanlan's Point Beach,9,SW,21,No,0,17.9,60,MOD,Cloudy,0.8
